first_name,middle_name,last_name,sex,birth_date,birth_city,birth_country,death_date,death_city,death_country
Juan,Patrick,Ramos,M,1704-12-04,Port Anthony,Bangladesh,1803-05-19,Davisberg,Brazil
Mark,Robert,Summers,F,1732-12-16,Leshire,Guam,1733-08-22,East Caroltown,Estonia
Zachary,Tina,Lyons,M,1700-09-25,Shelleytown,Saint Kitts and Nevis,1805-03-09,Wesleyshire,Tunisia
Jeremy,Nathan,Bennett,F,1695-08-08,Port Michael,Uruguay,1812-09-29,New Sarah,Anguilla
Max,Patricia,Steele,F,1714-10-17,Robertport,Bosnia and Herzegovina,1782-11-03,East Juliaton,Egypt
Andrew,Crystal,Edwards,F,1685-04-06,East Mark,Austria,1698-05-07,Williamshire,Kazakhstan
Edward,Joshua,Steele,F,1761-06-12,Kendrafort,Iraq,1891-01-29,Port Rebecca,Lesotho
Timothy,Phillip,Mitchell,F,1759-08-28,Woodwardhaven,Cocos (Keeling) Islands,1844-01-16,New Donna,Japan
Garrett,Katelyn,Rosario,M,1695-12-30,Port Erinberg,Christmas Island,1784-10-18,Davidton,Pakistan
Daniel,Curtis,Olsen,M,1714-06-15,Janethaven,Belarus,1774-07-01,Smithstad,Djibouti
Robert,Emma,Taylor,M,1748-11-20,Julieborough,Palestinian Territory,1892-10-25,Kruegerport,Oman
Sean,Jessica,Smith,M,1743-03-13,Lake Duanemouth,Costa Rica,1863-09-14,Davidberg,Spain
Matthew,Francisco,Marquez,F,1683-02-08,Rodriguezborough,Bulgaria,1790-02-26,Jacquelineberg,Andorra
Robert,Marcus,Berger,F,1687-12-08,New Todd,Kiribati,1771-05-27,South Megan,Albania
Joshua,Richard,Massey,M,1764-01-08,Darrellport,Iran,1912-09-18,Port Brittney,Madagascar
Kevin,Joshua,Williams,F,1687-01-31,Rodneyburgh,Spain,1798-09-17,Perezfurt,Montenegro
Jeremy,Mariah,Lopez,M,1690-05-21,New Amandaburgh,Gabon,1760-09-05,South Jamestown,New Caledonia
Thomas,Danny,Gonzalez,M,1700-09-21,North Grant,Egypt,1720-04-15,Finleystad,Saint Lucia
Ryan,Christopher,Small,F,1742-07-25,Kevinberg,Bosnia and Herzegovina,1748-12-02,Hannaburgh,Tonga
Eric,Richard,Garrett,M,1703-05-12,Smithborough,Papua New Guinea,1716-02-04,Port Lisa,Hungary
Clayton,Caleb,Conrad,F,1746-03-15,North Raymondview,Azerbaijan,1787-05-23,South Johnbury,Tonga
Robert,Gregory,Patterson,M,1701-05-17,East Jodiview,Netherlands,1837-02-08,Garciachester,Trinidad and Tobago
Michael,Arthur,Perez,F,1730-07-24,New Josephmouth,United Arab Emirates,1752-03-22,Ortizville,Antigua and Barbuda
John,Marissa,White,F,1722-06-06,East Bethhaven,Panama,1828-02-04,Grahamville,Holy See (Vatican City State)
William,Jeff,Harris,F,1710-07-13,East Kristinton,Sudan,1734-05-27,Biancashire,United States Minor Outlying Islands
Darren,Juan,Walker,F,1678-06-15,South Betty,Trinidad and Tobago,1710-12-20,Anthonytown,Romania
Kevin,Abigail,Wilson,F,1772-08-30,East Brandon,Lao People's Democratic Republic,1803-02-17,East Juanfort,Monaco
Nicholas,Gregory,Gonzales,F,1758-08-23,Darrylchester,Trinidad and Tobago,1784-07-29,Michaelport,Zambia
Cole,Beverly,Wolfe,F,1713-03-04,Richardston,Israel,1850-05-09,Nicholaston,Croatia
Jacob,Kelsey,Bates,F,1768-04-08,East Stacey,Dominican Republic,1788-04-13,Port Joshuatown,Uzbekistan
Timothy,Allison,Sanchez,F,1715-09-19,West Brentville,Hong Kong,1797-04-26,Anthonyfort,Guinea
Noah,Jesse,Cooper,M,1693-03-27,Schmidthaven,American Samoa,1787-02-24,South Jackfort,British Indian Ocean Territory (Chagos Archipelago)
Jason,Karen,Pena,M,1690-11-06,Lake Kurt,Saint Vincent and the Grenadines,1812-04-30,Jesusville,Philippines
Kurt,Robert,Wilkinson,M,1759-12-06,Greenville,Croatia,1894-01-03,South Charlesfort,France
Kenneth,Amy,Meyers,M,1738-08-28,Ryantown,Svalbard & Jan Mayen Islands,1748-01-27,East Cheryl,Korea
Ricardo,Emily,Yang,F,1694-04-16,East Amberbury,Gambia,1769-09-15,Joshuaberg,Trinidad and Tobago
Gerald,Melissa,Wilson,F,1711-01-09,Michaelton,Burkina Faso,1829-11-06,Roberthaven,Uganda
Adam,Adrienne,Garrison,M,1718-09-13,Port Kelliberg,Gambia,1753-08-20,East Hollystad,Anguilla
Colin,Jermaine,Landry,M,1744-07-07,East Julieburgh,Burundi,1803-01-03,Andersonchester,Iran
Thomas,Matthew,Hart,F,1682-06-16,Nicholsfort,Saint Martin,1778-08-04,Hawkinsside,Trinidad and Tobago
Robert,Jane,Nielsen,F,1738-09-20,Emilyberg,Heard Island and McDonald Islands,1869-01-14,Hunterton,Haiti
Robert,Lisa,Kelly,M,1696-04-18,Cruzfurt,Palau,1768-11-15,East Michael,Cuba
Bradley,David,Gates,M,1695-01-02,Alexabury,Norway,1836-05-10,New Harold,Reunion
Brian,Zachary,Brown,F,1744-06-06,North Robert,Montserrat,1822-03-08,New Logan,Uruguay
Steven,Scott,Cooper,M,1682-02-11,Christopherfurt,Netherlands,1737-09-14,Calebton,Bouvet Island (Bouvetoya)
Matthew,Kathryn,Hall,M,1725-09-01,Lake Julieland,Kenya,1777-12-03,Moyerhaven,United States Virgin Islands
Luke,Sarah,Coleman,F,1734-07-27,Leeland,Bermuda,1804-04-02,South Dustin,Dominica
Aaron,Robert,Gross,M,1752-02-25,West Lesliefurt,Bangladesh,1776-05-24,Maciashaven,Namibia
Robert,Daniel,Evans,M,1676-12-01,Port Connietown,Venezuela,1764-06-22,Dianahaven,Niger
James,Joseph,Holland,M,1729-07-23,Matthewtown,Rwanda,1746-11-09,Nicolefort,Chad
Patrick,Grace,Harmon,F,1687-10-25,Jamesshire,Monaco,1778-10-03,East Lori,Libyan Arab Jamahiriya
George,Randall,Jackson,F,1766-10-30,Port Victor,Israel,1903-09-06,Oscarberg,Bangladesh
Daniel,Kevin,Buck,F,1754-04-01,Meyershaven,Hong Kong,1764-04-10,Port Timothy,Korea
Joseph,Michael,Black,M,1682-08-30,North Samuel,Falkland Islands (Malvinas),1752-06-24,New Shannonport,United States Minor Outlying Islands
Michael,Lisa,Mckee,F,1750-11-22,Lake Daniellebury,Puerto Rico,1801-08-12,Simpsonside,Lesotho
Logan,Lorraine,Myers,M,1706-07-30,Melissamouth,Cook Islands,1763-02-24,New Sarah,Cayman Islands
Sean,Mark,Sims,F,1747-07-06,East Yolanda,Gambia,1847-11-11,Birdmouth,Norfolk Island
Ryan,Andre,Hall,F,1686-06-25,Ricebury,French Polynesia,1707-11-21,Jonesburgh,United States Virgin Islands
Alfred,Kayla,Williams,F,1748-11-06,North Victor,Ecuador,1870-07-30,Martinside,Reunion
David,Kenneth,Reyes,F,1679-03-09,New Susan,Morocco,1766-05-08,East Wandaburgh,Mozambique
Johnathan,Shannon,Perez,M,1710-06-23,Schwartzchester,Croatia,1825-08-28,Timothyville,Guatemala
Andrew,Matthew,Wilson,F,1677-11-11,West Sarahside,New Zealand,1740-07-11,East Sean,Antarctica (the territory South of 60 deg S)
Larry,Isaac,Walker,M,1726-07-09,Smithton,Algeria,1858-05-07,South Diamondmouth,Botswana
Michael,Mary,Moore,M,1728-01-30,East Michaelshire,Portugal,1844-03-16,Lake James,Peru
Michael,Melissa,Thomas,F,1765-04-06,Port Tiffanyland,Costa Rica,1912-10-01,Lake Seanhaven,Armenia
